,ChenChao_RNA,Dave_RNA,Eric_RNA,Ethan_RNA,Khaondo_RNA,Niyilolawa_RNA,Pedro_RNA,Srivathani_RNA
CMPK2,2.1825051351444002e-69,4.32482019501426e-70,1.99246367994502e-82,2.14825797843223e-99,6.40620600146368e-48,1.21170003820763e-47,1.64868799456205e-75,8.02009348659017e-51
IFI16,3.75290184086123e-69,2.98415755442111e-74,6.313569054335539e-103,5.2116889812218804e-95,6.5218579116925e-51,3.7231979997529896e-80,2.7617653682219e-59,4.6723647000833e-51
GBP1,5.191454137576179e-69,7.20701986852385e-70,4.02268722180876e-79,1.21551131168755e-72,2.1036447716216e-97,1.78497417028411e-57,4.62944592069213e-70,1.1342194396894399e-50
ISG20,1.5696596153706102e-68,4.53036544335386e-47,2.47788184632173e-129,1.28990405957415e-126,2.2723555472181e-71,1.41457396520351e-66,1.14373023644329e-87,5.0548044557152095e-42
IFIT2,2.84310220263488e-68,2.3194859541851297e-78,2.5503878803709398e-79,1.01225145290573e-132,1.32381853821788e-47,7.34715046958513e-72,1.1086978767126e-82,1.6930402352837699e-56
XAF1,8.44297330318147e-68,3.62508984779576e-76,1.1388456299977902e-145,1.31308563549711e-88,1.41980905272152e-33,1.58941524009971e-60,1.86925945566016e-59,5.03992267734085e-46
CNP,1.5109601855875303e-67,6.29586182001662e-46,3.25325912875786e-64,2.18881997363623e-80,5.23991137199731e-72,5.85669793993723e-80,2.98747711401825e-80,8.01366530357152e-52
IFI44,8.6917566384453e-67,4.22561749487891e-76,2.01980134690217e-197,2.67424837888627e-128,3.96301293349311e-48,2.43940145396496e-75,1.70231032819669e-65,1.16165159293433e-50
N4BP1,1.89164951829381e-66,2.75841507900695e-48,1.37272790543252e-65,2.82186690039884e-84,1.01628057952942e-63,3.1384220024029996e-58,3.7262415718207904e-52,3.11105391187829e-49
OAS1,8.6123405936608e-66,6.965493749704969e-70,1.30617575745707e-178,3.01588648435374e-115,2.14730057548816e-48,4.98411229381574e-75,4.4391943345726996e-82,3.9482355201297503e-60
PI4K2B,5.44316509341829e-65,2.71123159354448e-33,1.85463074897008e-65,2.76664794643766e-54,1.8470709151106998e-73,1.16228195150992e-52,3.67369337641313e-58,2.1048920675541e-54
SIDT1,5.95240934469381e-65,1.78167826133605e-32,5.50079539294803e-66,7.695562557295641e-98,2.04164568110776e-70,9.915544915545551e-54,1.2580939777183e-52,1.7177757728034199e-40
IFIT1,1.88830679076686e-64,4.69217947132355e-62,4.0913522923567e-89,6.45752446011069e-104,2.31274216043349e-38,7.95016356097554e-46,1.71372174952817e-70,5.39894036817945e-51
FIG4,2.43143723514733e-64,9.05485423090961e-20,2.17527130698782e-38,1.50011834061553e-53,3.0394691387204e-60,7.62414678205022e-66,3.41290855714981e-66,9.48679889950513e-41
SAMHD1,3.6657374021982e-63,3.36839892503749e-44,4.98783595737507e-52,6.09756752599212e-71,4.40030795593927e-57,2.9440656145558e-54,5.43974499342055e-51,1.57270901254775e-53
