,ChenChao_PRO,Dave_PRO,Eric_PRO,Ethan_PRO,Khaondo_PRO,Niyilolawa_PRO,Pedro_PRO,Srivathani_PRO
DHX58,3.6813577963892194e-11,4.37308852212936e-07,8.40957311140245e-08,1.1519571759999501e-10,6.15903076238107e-14,1.6038735275504297e-11,2.68874283723999e-09,2.1325910099420102e-09
ISG15,2.48678348118952e-30,6.27445592022147e-16,2.9862753171432104e-31,4.46990702648528e-29,3.51347892427584e-53,1.67992735019431e-35,2.83546374045247e-37,3.22324218421174e-32
IL16,1.61719382657786e-16,3.22215231796214e-11,6.64740192859838e-08,5.551499751343e-21,1.9935397760400497e-18,8.885746840539879e-18,6.0888818152396805e-15,7.879074012777271e-09
HELB,2.3401347355247e-107,3.20092198467674e-96,1.00055188570337e-70,5.83010781673877e-79,5.3284814621262505e-117,4.59479410766879e-106,1.28019796668934e-80,1.43655190606268e-81
HELZ2,1.9744269939045602e-19,3.6326140883613504e-09,4.9869386463726306e-15,9.52872726781585e-16,2.00760462070009e-28,3.84663377129913e-20,3.1493830714659e-15,2.18529527778024e-13
LPIN2,1.9112627598906304e-09,1.37979958202692e-07,2.10066790846154e-05,2.9303719560182194e-11,3.78658609024021e-12,2.4751726830369004e-10,1.03107401961021e-06,3.74314159696704e-07
TRIM5,2.3014480045314197e-42,2.73675831813347e-37,1.4173995833640199e-43,3.05203632072391e-47,9.901680113683659e-42,1.3374611961714399e-43,1.22408546084214e-32,2.47829118034244e-37
GTPBP1,2.79886336036078e-21,1.89372810383766e-13,1.6350538074622e-10,4.92720955146291e-15,1.64773581924313e-26,2.87691316363303e-16,2.11677178524814e-13,1.0083543806954201e-14
STAT1,8.96666195563617e-14,1.6004880602693e-08,1.20837925103614e-28,8.49537326673715e-26,5.412816681798309e-16,3.36838634041693e-15,2.54086746329323e-20,1.8342303509013802e-15
GBP4,1.55252440544794e-31,1.6033458750035299e-16,4.0269162879183903e-20,1.7261391168739102e-25,7.518468318135019e-28,9.12641658624156e-25,2.93901264648191e-29,2.64425427763372e-14
FHL3,5.3080235850245e-08,2.27509206758414e-09,4.55347277142295e-05,2.68820809134179e-13,4.65940233951935e-06,1.76729736730496e-06,3.48522663892376e-06,2.7229791831137e-07
TRAFD1,1.50649291094587e-50,2.46002305258266e-21,5.67131950568663e-28,2.0363123466637597e-42,4.4486411127280205e-54,1.0736726617991298e-49,2.45889111184616e-45,9.50118338312761e-32
GMPR,2.78341350533619e-12,1.33243026312505e-10,8.363730995083619e-11,2.21300425903212e-16,2.8054554547154102e-15,4.85241794560083e-13,6.20227645738593e-14,1.6236493549168e-11
CASP10,4.41913939626525e-17,1.9474189356586198e-11,1.14995653230501e-19,7.42388875913759e-15,9.83235386841832e-18,2.4024829921700297e-18,8.09124832581221e-17,2.3336146717782e-12
CACNA1A,8.92917380693499e-10,8.34080974624837e-05,1.3686621729323e-06,0.0001547726691658,3.02679619247974e-24,1.09037947595402e-10,3.77942904511831e-14,2.30743824361689e-08
APOL3,1.55163845300056e-29,9.56667761853179e-18,2.9674305873807e-08,9.9049563690844e-09,2.56447572490834e-41,2.4735468478810498e-18,2.7915770988129e-13,3.05846244428237e-18
TNFSF10,2.08990134120322e-103,2.83389987357965e-100,5.22627636606086e-82,1.5619093169303e-107,3.16103768989879e-115,1.65703626841391e-128,1.1716302967306598e-103,6.13241499948307e-94
